Year,Quintile,Income,Race,Dollar
2014,Second fifth,31090,All Races,Nominal
2014,Middle fifth,54040,All Races,Nominal
2014,Fourth fifth,87830,All Races,Nominal
2014,Highest fifth,194100,All Races,Nominal
2014,Top 5 percent,332300,All Races,Nominal
2013,Lowest fifth,11620,All Races,Nominal
2013,Second fifth,30660,All Races,Nominal
2013,Middle fifth,53030,All Races,Nominal
2013,Fourth fifth,84995,All Races,Nominal
2013,Highest fifth,189300,All Races,Nominal
2013,Top 5 percent,328400,All Races,Nominal
2012,Lowest fifth,11490,All Races,Nominal
2012,Second fifth,29700,All Races,Nominal
2012,Middle fifth,51180,All Races,Nominal
2012,Fourth fifth,82100,All Races,Nominal
2012,Highest fifth,181900,All Races,Nominal
2012,Top 5 percent,318100,All Races,Nominal
2011,Lowest fifth,11240,All Races,Nominal
2011,Second fifth,29200,All Races,Nominal
2011,Middle fifth,49840,All Races,Nominal
2011,Fourth fifth,80080,All Races,Nominal
2011,Highest fifth,178000,All Races,Nominal
2011,Top 5 percent,311400,All Races,Nominal
2010,Lowest fifth,10990,All Races,Nominal
2010,Second fifth,28530,All Races,Nominal
2010,Middle fifth,49170,All Races,Nominal
2010,Fourth fifth,78880,All Races,Nominal
2010,Highest fifth,169400,All Races,Nominal
2010,Top 5 percent,287200,All Races,Nominal
2009,Lowest fifth,11550,All Races,Nominal
2009,Second fifth,29260,All Races,Nominal
2009,Middle fifth,49530,All Races,Nominal
2009,Fourth fifth,78690,All Races,Nominal
2009,Highest fifth,170800,All Races,Nominal
2009,Top 5 percent,295400,All Races,Nominal
2008,Lowest fifth,11660,All Races,Nominal
2008,Second fifth,29520,All Races,Nominal
2008,Middle fifth,50130,All Races,Nominal
2008,Fourth fifth,79760,All Races,Nominal
2008,Highest fifth,171100,All Races,Nominal
2008,Top 5 percent,294700,All Races,Nominal
2007,Lowest fifth,11550,All Races,Nominal
2007,Second fifth,29440,All Races,Nominal
2007,Middle fifth,49970,All Races,Nominal
2007,Fourth fifth,79110,All Races,Nominal
2007,Highest fifth,168000,All Races,Nominal
2007,Top 5 percent,287200,All Races,Nominal
2006,Lowest fifth,11350,All Races,Nominal
2006,Second fifth,28780,All Races,Nominal
2006,Middle fifth,48220,All Races,Nominal
2006,Fourth fifth,76330,All Races,Nominal
2006,Highest fifth,168200,All Races,Nominal
2006,Top 5 percent,297400,All Races,Nominal
2005,Lowest fifth,10660,All Races,Nominal
2005,Second fifth,27360,All Races,Nominal
2005,Middle fifth,46300,All Races,Nominal
2005,Fourth fifth,72830,All Races,Nominal
2005,Highest fifth,159600,All Races,Nominal
2005,Top 5 percent,281200,All Races,Nominal
2004,Lowest fifth,10240,All Races,Nominal
2004,Second fifth,26210,All Races,Nominal
2004,Middle fifth,44410,All Races,Nominal
2004,Fourth fifth,70030,All Races,Nominal
2004,Highest fifth,151400,All Races,Nominal
2004,Top 5 percent,263900,All Races,Nominal
2003,Lowest fifth,9996,All Races,Nominal
2003,Second fifth,25680,All Races,Nominal
2003,Middle fifth,43590,All Races,Nominal
2003,Fourth fifth,68990,All Races,Nominal
2003,Highest fifth,147100,All Races,Nominal
2003,Top 5 percent,253200,All Races,Nominal
2002,Lowest fifth,9990,All Races,Nominal
2002,Second fifth,25400,All Races,Nominal
2002,Middle fifth,42800,All Races,Nominal
2002,Fourth fifth,67330,All Races,Nominal
2002,Highest fifth,143700,All Races,Nominal
2002,Top 5 percent,251000,All Races,Nominal
2001,Lowest fifth,10140,All Races,Nominal
2001,Second fifth,25470,All Races,Nominal
2001,Middle fifth,42630,All Races,Nominal
2001,Fourth fifth,66840,All Races,Nominal
2001,Highest fifth,146000,All Races,Nominal
2001,Top 5 percent,260500,All Races,Nominal
2000,Lowest fifth,10160,All Races,Nominal
2000,Second fifth,25360,All Races,Nominal
2000,Middle fifth,42230,All Races,Nominal
2000,Fourth fifth,65650,All Races,Nominal
2000,Highest fifth,142300,All Races,Nominal
2000,Top 5 percent,252400,All Races,Nominal
1999,Lowest fifth,9915,All Races,Nominal
1999,Second fifth,24350,All Races,Nominal
1999,Middle fifth,40750,All Races,Nominal
1999,Fourth fifth,63420,All Races,Nominal
1999,Highest fifth,135300,All Races,Nominal
1999,Top 5 percent,235100,All Races,Nominal
1998,Lowest fifth,9223,All Races,Nominal
1998,Second fifth,23290,All Races,Nominal
1998,Middle fifth,38970,All Races,Nominal
1998,Fourth fifth,60270,All Races,Nominal
1998,Highest fifth,127500,All Races,Nominal
1998,Top 5 percent,222300,All Races,Nominal
1997,Lowest fifth,8839,All Races,Nominal
1997,Second fifth,22100,All Races,Nominal
1997,Middle fifth,37180,All Races,Nominal
1997,Fourth fifth,57580,All Races,Nominal
1997,Highest fifth,122800,All Races,Nominal
1997,Top 5 percent,215400,All Races,Nominal
1996,Lowest fifth,8595,All Races,Nominal
1996,Second fifth,21100,All Races,Nominal
1996,Middle fifth,35490,All Races,Nominal
1996,Fourth fifth,54920,All Races,Nominal
1996,Highest fifth,115500,All Races,Nominal
1996,Top 5 percent,201200,All Races,Nominal
1995,Lowest fifth,8345,All Races,Nominal
1995,Second fifth,20400,All Races,Nominal
1995,Middle fifth,34110,All Races,Nominal
1995,Fourth fifth,52430,All Races,Nominal
1995,Highest fifth,109400,All Races,Nominal
1995,Top 5 percent,188800,All Races,Nominal
1994,Lowest fifth,7714,All Races,Nominal
1994,Second fifth,19220,All Races,Nominal
1994,Middle fifth,32390,All Races,Nominal
1994,Fourth fifth,50400,All Races,Nominal
1994,Highest fifth,105900,All Races,Nominal
1994,Top 5 percent,183000,All Races,Nominal
1993,Lowest fifth,7359,All Races,Nominal
1993,Second fifth,18660,All Races,Nominal
1993,Middle fifth,31270,All Races,Nominal
1993,Fourth fifth,48600,All Races,Nominal
1993,Highest fifth,101300,All Races,Nominal
1993,Top 5 percent,173800,All Races,Nominal
1992,Lowest fifth,7256,All Races,Nominal
1992,Second fifth,18180,All Races,Nominal
1992,Middle fifth,30630,All Races,Nominal
1992,Fourth fifth,47020,All Races,Nominal
1992,Highest fifth,91110,All Races,Nominal
1992,Top 5 percent,144600,All Races,Nominal
1991,Lowest fifth,7226,All Races,Nominal
1991,Second fifth,18150,All Races,Nominal
1991,Middle fifth,30150,All Races,Nominal
1991,Fourth fifth,45960,All Races,Nominal
1991,Highest fifth,88130,All Races,Nominal
1991,Top 5 percent,137500,All Races,Nominal
1990,Lowest fifth,7166,All Races,Nominal
1990,Second fifth,18030,All Races,Nominal
1990,Middle fifth,29780,All Races,Nominal
1990,Fourth fifth,44900,All Races,Nominal
1990,Highest fifth,87140,All Races,Nominal
1990,Top 5 percent,138800,All Races,Nominal
1989,Lowest fifth,6994,All Races,Nominal
1989,Second fifth,17400,All Races,Nominal
1989,Middle fifth,28930,All Races,Nominal
1989,Fourth fifth,43750,All Races,Nominal
1989,Highest fifth,85530,All Races,Nominal
1989,Top 5 percent,138200,All Races,Nominal
1988,Lowest fifth,6465,All Races,Nominal
1988,Second fifth,16320,All Races,Nominal
1988,Middle fifth,27290,All Races,Nominal
1988,Fourth fifth,41250,All Races,Nominal
1988,Highest fifth,78760,All Races,Nominal
1988,Top 5 percent,124200,All Races,Nominal
1987,Lowest fifth,6132,All Races,Nominal
1987,Second fifth,15580,All Races,Nominal
1987,Middle fifth,26060,All Races,Nominal
1987,Fourth fifth,39380,All Races,Nominal
1987,Highest fifth,74900,All Races,Nominal
1987,Top 5 percent,118000,All Races,Nominal
1986,Lowest fifth,5774,All Races,Nominal
1986,Second fifth,14850,All Races,Nominal
1986,Middle fifth,24860,All Races,Nominal
1986,Fourth fifth,37440,All Races,Nominal
1986,Highest fifth,70870,All Races,Nominal
1986,Top 5 percent,111000,All Races,Nominal
1985,Lowest fifth,5614,All Races,Nominal
1985,Second fifth,14230,All Races,Nominal
1985,Middle fifth,23620,All Races,Nominal
1985,Fourth fifth,35520,All Races,Nominal
1985,Highest fifth,66350,All Races,Nominal
1985,Top 5 percent,102400,All Races,Nominal
1984,Lowest fifth,5436,All Races,Nominal
1984,Second fifth,13540,All Races,Nominal
1984,Middle fifth,22440,All Races,Nominal
1984,Fourth fifth,33780,All Races,Nominal
1984,Highest fifth,62120,All Races,Nominal
1984,Top 5 percent,93770,All Races,Nominal
1983,Lowest fifth,5053,All Races,Nominal
1983,Second fifth,12690,All Races,Nominal
1983,Middle fifth,20990,All Races,Nominal
1983,Fourth fifth,31490,All Races,Nominal
1983,Highest fifth,57820,All Races,Nominal
1983,Top 5 percent,87360,All Races,Nominal
1982,Lowest fifth,4790,All Races,Nominal
1982,Second fifth,12120,All Races,Nominal
1982,Middle fifth,20060,All Races,Nominal
1982,Fourth fifth,29840,All Races,Nominal
1982,Highest fifth,54730,All Races,Nominal
1982,Top 5 percent,82700,All Races,Nominal
1981,Lowest fifth,4602,All Races,Nominal
1981,Second fifth,11460,All Races,Nominal
1981,Middle fifth,18990,All Races,Nominal
1981,Fourth fifth,28310,All Races,Nominal
1981,Highest fifth,50570,All Races,Nominal
1981,Top 5 percent,75140,All Races,Nominal
1980,Lowest fifth,4310,All Races,Nominal
1980,Second fifth,10730,All Races,Nominal
1980,Middle fifth,17700,All Races,Nominal
1980,Fourth fifth,26080,All Races,Nominal
1980,Highest fifth,46500,All Races,Nominal
1980,Top 5 percent,69480,All Races,Nominal
1979,Lowest fifth,4006,All Races,Nominal
1979,Second fifth,9964,All Races,Nominal
1979,Middle fifth,16430,All Races,Nominal
1979,Fourth fifth,24110,All Races,Nominal
1979,Highest fifth,43270,All Races,Nominal
1979,Top 5 percent,65980,All Races,Nominal
1978,Lowest fifth,3685,All Races,Nominal
1978,Second fifth,9050,All Races,Nominal
1978,Middle fifth,14940,All Races,Nominal
1978,Fourth fifth,21890,All Races,Nominal
1978,Highest fifth,39080,All Races,Nominal
1978,Top 5 percent,59490,All Races,Nominal
1977,Lowest fifth,3335,All Races,Nominal
1977,Second fifth,8209,All Races,Nominal
1977,Middle fifth,13580,All Races,Nominal
1977,Fourth fifth,19900,All Races,Nominal
1977,Highest fifth,35480,All Races,Nominal
1977,Top 5 percent,54280,All Races,Nominal
1976,Lowest fifth,3152,All Races,Nominal
1976,Second fifth,7717,All Races,Nominal
1976,Middle fifth,12690,All Races,Nominal
1976,Fourth fifth,18430,All Races,Nominal
1976,Highest fifth,32620,All Races,Nominal
1976,Top 5 percent,49700,All Races,Nominal
1975,Lowest fifth,2909,All Races,Nominal
1975,Second fifth,7146,All Races,Nominal
1975,Middle fifth,11720,All Races,Nominal
1975,Fourth fifth,17040,All Races,Nominal
1975,Highest fifth,30080,All Races,Nominal
1975,Top 5 percent,45640,All Races,Nominal
1974,Lowest fifth,2783,All Races,Nominal
1974,Second fifth,6917,All Races,Nominal
1974,Middle fifth,11150,All Races,Nominal
1974,Fourth fifth,16100,All Races,Nominal
1974,Highest fifth,28520,All Races,Nominal
1974,Top 5 percent,43360,All Races,Nominal
1973,Lowest fifth,2539,All Races,Nominal
1973,Second fifth,6384,All Races,Nominal
1973,Middle fifth,10470,All Races,Nominal
1973,Fourth fifth,15060,All Races,Nominal
1973,Highest fifth,26950,All Races,Nominal
1973,Top 5 percent,41520,All Races,Nominal
1972,Lowest fifth,2283,All Races,Nominal
1972,Second fifth,5897,All Races,Nominal
1972,Middle fifth,9624,All Races,Nominal
1972,Fourth fifth,13820,All Races,Nominal
1972,Highest fifth,24810,All Races,Nominal
1972,Top 5 percent,38450,All Races,Nominal
1971,Lowest fifth,2092,All Races,Nominal
1971,Second fifth,5529,All Races,Nominal
1971,Middle fifth,8965,All Races,Nominal
1971,Fourth fifth,12750,All Races,Nominal
1971,Highest fifth,22580,All Races,Nominal
1971,Top 5 percent,34640,All Races,Nominal
1970,Lowest fifth,1992,All Races,Nominal
1970,Second fifth,5396,All Races,Nominal
1970,Middle fifth,8689,All Races,Nominal
1970,Fourth fifth,12250,All Races,Nominal
1970,Highest fifth,21680,All Races,Nominal
1970,Top 5 percent,33280,All Races,Nominal
1969,Lowest fifth,1932,All Races,Nominal
1969,Second fifth,5216,All Races,Nominal
1969,Middle fifth,8335,All Races,Nominal
1969,Fourth fifth,11680,All Races,Nominal
1969,Highest fifth,20520,All Races,Nominal
1969,Top 5 percent,31590,All Races,Nominal
1968,Lowest fifth,1806,All Races,Nominal
1968,Second fifth,4842,All Races,Nominal
1968,Middle fifth,7680,All Races,Nominal
1968,Fourth fifth,10710,All Races,Nominal
1968,Highest fifth,18620,All Races,Nominal
1968,Top 5 percent,28460,All Races,Nominal
1967,Lowest fifth,1600,All Races,Nominal
1967,Second fifth,4433,All Races,Nominal
1967,Middle fifth,7077,All Races,Nominal
1967,Fourth fifth,9902,All Races,Nominal
1967,Highest fifth,17820,All Races,Nominal
1967,Top 5 percent,28110,All Races,Nominal
2022,Lowest fifth,17510,White,Nominal
2022,Second fifth,46200,White,Nominal
2022,Middle fifth,77850,White,Nominal
2022,Fourth fifth,123200,White,Nominal
2022,Highest fifth,281600,White,Nominal
2022,Top 5 percent,507800,White,Nominal
2021,Lowest fifth,16430,White,Nominal
2021,Second fifth,43690,White,Nominal
2021,Middle fifth,74420,White,Nominal
2021,Fourth fifth,119300,White,Nominal
2021,Highest fifth,275200,White,Nominal
2021,Top 5 percent,489900,White,Nominal
2020,Lowest fifth,16330,White,Nominal
2020,Second fifth,42350,White,Nominal
2020,Middle fifth,71600,White,Nominal
2020,Fourth fifth,114000,White,Nominal
2020,Highest fifth,258300,White,Nominal
2020,Top 5 percent,453100,White,Nominal
2019,Lowest fifth,17030,White,Nominal
2019,Second fifth,43530,White,Nominal
2019,Middle fifth,72470,White,Nominal
2019,Fourth fifth,115100,White,Nominal
2019,Highest fifth,260600,White,Nominal
2019,Top 5 percent,461700,White,Nominal
2018,Lowest fifth,15580,White,Nominal
2018,Second fifth,40200,White,Nominal
2018,Middle fifth,67150,White,Nominal
2018,Fourth fifth,105500,White,Nominal
2018,Highest fifth,241400,White,Nominal
2018,Top 5 percent,431600,White,Nominal
2017,Lowest fifth,15580,White,Nominal
2017,Second fifth,40200,White,Nominal
2017,Middle fifth,67150,White,Nominal
2017,Fourth fifth,105500,White,Nominal
2017,Highest fifth,241400,White,Nominal
2017,Top 5 percent,431600,White,Nominal
2016,Lowest fifth,14490,White,Nominal
2016,Second fifth,36960,White,Nominal
2016,Middle fifth,62250,White,Nominal
2016,Fourth fifth,98860,White,Nominal
2016,Highest fifth,219200,White,Nominal
2016,Top 5 percent,383100,White,Nominal
2015,Lowest fifth,14080,White,Nominal
2015,Second fifth,35020,White,Nominal
2015,Middle fifth,60050,White,Nominal
2015,Fourth fifth,95630,White,Nominal
2015,Highest fifth,206400,White,Nominal
2015,Top 5 percent,355900,White,Nominal
2014,Lowest fifth,13020,White,Nominal
2014,Second fifth,33360,White,Nominal
2014,Middle fifth,57140,White,Nominal
2014,Fourth fifth,91300,White,Nominal
2014,Highest fifth,199600,White,Nominal
2014,Top 5 percent,341800,White,Nominal
2013,Lowest fifth,12970,White,Nominal
2013,Second fifth,32915,White,Nominal
2013,Middle fifth,56100,White,Nominal
2013,Fourth fifth,88240,White,Nominal
2013,Highest fifth,193950,White,Nominal
2013,Top 5 percent,334700,White,Nominal
2012,Lowest fifth,12920,White,Nominal
2012,Second fifth,31890,White,Nominal
2012,Middle fifth,54060,White,Nominal
2012,Fourth fifth,85400,White,Nominal
2012,Highest fifth,187800,White,Nominal
2012,Top 5 percent,329600,White,Nominal
2011,Lowest fifth,12690,White,Nominal
2011,Second fifth,31480,White,Nominal
2011,Middle fifth,52640,White,Nominal
2011,Fourth fifth,83400,White,Nominal
2011,Highest fifth,183900,White,Nominal
2011,Top 5 percent,321700,White,Nominal
2010,Lowest fifth,12390,White,Nominal
2010,Second fifth,30710,White,Nominal
2010,Middle fifth,51910,White,Nominal
2010,Fourth fifth,82140,White,Nominal
2010,Highest fifth,174900,White,Nominal
2010,Top 5 percent,297700,White,Nominal
2009,Lowest fifth,12880,White,Nominal
2009,Second fifth,31290,White,Nominal
2009,Middle fifth,52110,White,Nominal
2009,Fourth fifth,81690,White,Nominal
2009,Highest fifth,174800,White,Nominal
2009,Top 5 percent,300500,White,Nominal
2008,Lowest fifth,12880,White,Nominal
2008,Second fifth,31420,White,Nominal
2008,Middle fifth,52850,White,Nominal
2008,Fourth fifth,82770,White,Nominal
2008,Highest fifth,176000,White,Nominal
2008,Top 5 percent,303700,White,Nominal
2007,Lowest fifth,12830,White,Nominal
2007,Second fifth,31370,White,Nominal
2007,Middle fifth,52430,White,Nominal
2007,Fourth fifth,82070,White,Nominal
2007,Highest fifth,173000,White,Nominal
2007,Top 5 percent,295900,White,Nominal
2006,Lowest fifth,12610,White,Nominal
2006,Second fifth,30670,White,Nominal
2006,Middle fifth,50590,White,Nominal
2006,Fourth fifth,79220,White,Nominal
2006,Highest fifth,172400,White,Nominal
2006,Top 5 percent,304700,White,Nominal
2005,Lowest fifth,11890,White,Nominal
2005,Second fifth,29210,White,Nominal
2005,Middle fifth,48590,White,Nominal
2005,Fourth fifth,75450,White,Nominal
2005,Highest fifth,164700,White,Nominal
2005,Top 5 percent,291400,White,Nominal
2004,Lowest fifth,11330,White,Nominal
2004,Second fifth,27830,White,Nominal
2004,Middle fifth,46660,White,Nominal
2004,Fourth fifth,72700,White,Nominal
2004,Highest fifth,156000,White,Nominal
2004,Top 5 percent,272300,White,Nominal
2003,Lowest fifth,11100,White,Nominal
2003,Second fifth,27360,White,Nominal
2003,Middle fifth,45690,White,Nominal
2003,Fourth fifth,71580,White,Nominal
2003,Highest fifth,152200,White,Nominal
2003,Top 5 percent,264000,White,Nominal
2002,Lowest fifth,11020,White,Nominal
2002,Second fifth,27010,White,Nominal
2002,Middle fifth,45070,White,Nominal
2002,Fourth fifth,69850,White,Nominal
2002,Highest fifth,147900,White,Nominal
2002,Top 5 percent,258700,White,Nominal
2001,Lowest fifth,11120,White,Nominal
2001,Second fifth,26990,White,Nominal
2001,Middle fifth,44630,White,Nominal
2001,Fourth fifth,69250,White,Nominal
2001,Highest fifth,150600,White,Nominal
2001,Top 5 percent,269200,White,Nominal
2000,Lowest fifth,11040,White,Nominal
2000,Second fifth,26760,White,Nominal
2000,Middle fifth,44050,White,Nominal
2000,Fourth fifth,67820,White,Nominal
2000,Highest fifth,146600,White,Nominal
2000,Top 5 percent,261500,White,Nominal
1999,Lowest fifth,10910,White,Nominal
1999,Second fifth,25780,White,Nominal
1999,Middle fifth,42540,White,Nominal
1999,Fourth fifth,65410,White,Nominal
1999,Highest fifth,139000,White,Nominal
1999,Top 5 percent,243500,White,Nominal
1998,Lowest fifth,10260,White,Nominal
1998,Second fifth,24920,White,Nominal
1998,Middle fifth,41030,White,Nominal
1998,Fourth fifth,62470,White,Nominal
1998,Highest fifth,132400,White,Nominal
1998,Top 5 percent,232800,White,Nominal
1997,Lowest fifth,9730,White,Nominal
1997,Second fifth,23560,White,Nominal
1997,Middle fifth,39020,White,Nominal
1997,Fourth fifth,59800,White,Nominal
1997,Highest fifth,127400,White,Nominal
1997,Top 5 percent,225100,White,Nominal
1996,Lowest fifth,9520,White,Nominal
1996,Second fifth,22580,White,Nominal
1996,Middle fifth,37300,White,Nominal
1996,Fourth fifth,56900,White,Nominal
1996,Highest fifth,118700,White,Nominal
1996,Top 5 percent,206300,White,Nominal
1995,Lowest fifth,9233,White,Nominal
1995,Second fifth,21810,White,Nominal
1995,Middle fifth,35780,White,Nominal
1995,Fourth fifth,54360,White,Nominal
1995,Highest fifth,112500,White,Nominal
1995,Top 5 percent,193400,White,Nominal
1994,Lowest fifth,8585,White,Nominal
1994,Second fifth,20650,White,Nominal
1994,Middle fifth,34080,White,Nominal
1994,Fourth fifth,52310,White,Nominal
1994,Highest fifth,109500,White,Nominal
1994,Top 5 percent,190300,White,Nominal
1993,Lowest fifth,8283,White,Nominal
1993,Second fifth,20180,White,Nominal
1993,Middle fifth,33090,White,Nominal
1993,Fourth fifth,50500,White,Nominal
1993,Highest fifth,104400,White,Nominal
1993,Top 5 percent,179500,White,Nominal
1992,Lowest fifth,8191,White,Nominal
1992,Second fifth,19710,White,Nominal
1992,Middle fifth,32350,White,Nominal
1992,Fourth fifth,48900,White,Nominal
1992,Highest fifth,93830,White,Nominal
1992,Top 5 percent,149000,White,Nominal
1991,Lowest fifth,8150,White,Nominal
1991,Second fifth,19550,White,Nominal
1991,Middle fifth,31710,White,Nominal
1991,Fourth fifth,47660,White,Nominal
1991,Highest fifth,90540,White,Nominal
1991,Top 5 percent,141200,White,Nominal
1990,Lowest fifth,8052,White,Nominal
1990,Second fifth,19380,White,Nominal
1990,Middle fifth,31170,White,Nominal
1990,Fourth fifth,46460,White,Nominal
1990,Highest fifth,89500,White,Nominal
1990,Top 5 percent,142700,White,Nominal
1989,Lowest fifth,7828,White,Nominal
1989,Second fifth,18730,White,Nominal
1989,Middle fifth,30380,White,Nominal
1989,Fourth fifth,45270,White,Nominal
1989,Highest fifth,88010,White,Nominal
1989,Top 5 percent,142400,White,Nominal
1988,Lowest fifth,7270,White,Nominal
1988,Second fifth,17680,White,Nominal
1988,Middle fifth,28780,White,Nominal
1988,Fourth fifth,42700,White,Nominal
1988,Highest fifth,80900,White,Nominal
1988,Top 5 percent,127700,White,Nominal
1987,Lowest fifth,6903,White,Nominal
1987,Second fifth,16880,White,Nominal
1987,Middle fifth,27520,White,Nominal
1987,Fourth fifth,40830,White,Nominal
1987,Highest fifth,76850,White,Nominal
1987,Top 5 percent,121200,White,Nominal
1986,Lowest fifth,6450,White,Nominal
1986,Second fifth,16010,White,Nominal
1986,Middle fifth,26170,White,Nominal
1986,Fourth fifth,38790,White,Nominal
1986,Highest fifth,72780,White,Nominal
1986,Top 5 percent,114100,White,Nominal
1985,Lowest fifth,6189,White,Nominal
1985,Second fifth,15290,White,Nominal
1985,Middle fifth,24810,White,Nominal
1985,Fourth fifth,36760,White,Nominal
1985,Highest fifth,68250,White,Nominal
1985,Top 5 percent,105400,White,Nominal
1984,Lowest fifth,6019,White,Nominal
1984,Second fifth,14600,White,Nominal
1984,Middle fifth,23620,White,Nominal
1984,Fourth fifth,34970,White,Nominal
1984,Highest fifth,63780,White,Nominal
1984,Top 5 percent,96280,White,Nominal
1983,Lowest fifth,5637,White,Nominal
1983,Second fifth,13700,White,Nominal
1983,Middle fifth,22070,White,Nominal
1983,Fourth fifth,32600,White,Nominal
1983,Highest fifth,59400,White,Nominal
1983,Top 5 percent,89780,White,Nominal
1982,Lowest fifth,5280,White,Nominal
1982,Second fifth,13050,White,Nominal
1982,Middle fifth,21070,White,Nominal
1982,Fourth fifth,30910,White,Nominal
1982,Highest fifth,56240,White,Nominal
1982,Top 5 percent,84810,White,Nominal
1981,Lowest fifth,5089,White,Nominal
1981,Second fifth,12340,White,Nominal
1981,Middle fifth,20010,White,Nominal
1981,Fourth fifth,29300,White,Nominal
1981,Highest fifth,51970,White,Nominal
1981,Top 5 percent,77240,White,Nominal
1980,Lowest fifth,4750,White,Nominal
1980,Second fifth,11550,White,Nominal
1980,Middle fifth,18610,White,Nominal
1980,Fourth fifth,26960,White,Nominal
1980,Highest fifth,47700,White,Nominal
1980,Top 5 percent,71250,White,Nominal
1979,Lowest fifth,4391,White,Nominal
1979,Second fifth,10690,White,Nominal
1979,Middle fifth,17240,White,Nominal
1979,Fourth fifth,24880,White,Nominal
1979,Highest fifth,44420,White,Nominal
1979,Top 5 percent,67790,White,Nominal
1978,Lowest fifth,4004,White,Nominal
1978,Second fifth,9661,White,Nominal
1978,Middle fifth,15640,White,Nominal
1978,Fourth fifth,22560,White,Nominal
1978,Highest fifth,40070,White,Nominal
1978,Top 5 percent,61180,White,Nominal
1977,Lowest fifth,3598,White,Nominal
1977,Second fifth,8809,White,Nominal
1977,Middle fifth,14270,White,Nominal
1977,Fourth fifth,20560,White,Nominal
1977,Highest fifth,36410,White,Nominal
1977,Top 5 percent,55820,White,Nominal
1976,Lowest fifth,3409,White,Nominal
1976,Second fifth,8253,White,Nominal
1976,Middle fifth,13300,White,Nominal
1976,Fourth fifth,19020,White,Nominal
1976,Highest fifth,33500,White,Nominal
1976,Top 5 percent,51150,White,Nominal
1975,Lowest fifth,3139,White,Nominal
1975,Second fifth,7628,White,Nominal
1975,Middle fifth,12260,White,Nominal
1975,Fourth fifth,17560,White,Nominal
1975,Highest fifth,30860,White,Nominal
1975,Top 5 percent,46950,White,Nominal
1974,Lowest fifth,3004,White,Nominal
1974,Second fifth,7397,White,Nominal
1974,Middle fifth,11650,White,Nominal
1974,Fourth fifth,16600,White,Nominal
1974,Highest fifth,29250,White,Nominal
1974,Top 5 percent,44490,White,Nominal
1973,Lowest fifth,2732,White,Nominal
1973,Second fifth,6835,White,Nominal
1973,Middle fifth,10960,White,Nominal
1973,Fourth fifth,15550,White,Nominal
1973,Highest fifth,27650,White,Nominal
1973,Top 5 percent,42640,White,Nominal
1972,Lowest fifth,2467,White,Nominal
1972,Second fifth,6340,White,Nominal
1972,Middle fifth,10090,White,Nominal
1972,Fourth fifth,14250,White,Nominal
1972,Highest fifth,25480,White,Nominal
1972,Top 5 percent,39510,White,Nominal
1971,Lowest fifth,2255,White,Nominal
1971,Second fifth,5911,White,Nominal
1971,Middle fifth,9364,White,Nominal
1971,Fourth fifth,13120,White,Nominal
1971,Highest fifth,23150,White,Nominal
1971,Top 5 percent,35560,White,Nominal
1970,Lowest fifth,2149,White,Nominal
1970,Second fifth,5757,White,Nominal
1970,Middle fifth,9050,White,Nominal
1970,Fourth fifth,12600,White,Nominal
1970,Highest fifth,22200,White,Nominal
